id,name,category,tags,bonus_gold,bonus_food,bonus_production,bonus_science,bonus_culture,bonus_faith
wheat,小麦,bonus,bonus_resource|wheat,0.0,1.0,0.0,0.0,0.0,0.0
stone,石材,bonus,bonus_resource|stone,0.0,0.0,1.0,0.0,0.0,0.0
gems,宝石,luxury,gems|luxury_resource,2.0,0.0,0.0,0.0,0.0,0.0
silk,丝绸,luxury,luxury_resource|silk,1.0,0.0,0.0,0.0,1.0,0.0
incense,乳香,luxury,incense|luxury_resource,1.0,0.0,0.0,0.0,0.0,1.0
ancient_ruins,远古遗迹,knowledge,knowledge_resource|ruins,0.0,0.0,0.0,2.0,0.0,0.0
holy_site_relic,圣地遗址,knowledge,holy|knowledge_resource,0.0,0.0,0.0,0.0,0.0,2.0
fish,鱼群,bonus,bonus_resource|fish,0.0,1.0,0.0,0.0,0.0,0.0
salt,盐,bonus,bonus_resource|salt,1.0,1.0,0.0,0.0,0.0,0.0
iron,铁矿,strategic,iron|strategic_resource,0.0,0.0,1.0,1.0,0.0,0.0
horses,马匹,strategic,horses|strategic_resource,1.0,0.0,1.0,0.0,0.0,0.0
spices,香料,luxury,luxury_resource|spices,1.0,0.0,0.0,0.0,1.0,0.0
grapes,葡萄,luxury,grapes|luxury_resource,2.0,0.0,0.0,0.0,0.0,0.0
marble,大理石,luxury,luxury_resource|marble,0.0,0.0,1.0,0.0,1.0,0.0
pearls,珍珠,luxury,luxury_resource|pearls,2.0,0.0,0.0,0.0,0.0,1.0
amber,琥珀,luxury,amber|luxury_resource,1.0,0.0,0.0,1.0,0.0,0.0
ivory,象牙,luxury,ivory|luxury_resource,2.0,0.0,0.0,0.0,0.0,0.0
tea,茶叶,luxury,luxury_resource|tea,1.0,0.0,0.0,0.0,1.0,1.0
