seed,agent,score,science,culture,faith,turns,population,decisions,failed,goal_achieved,tech_nodes,spec
900004,random,0.0,0.0,0.0,0.0,40,1,300,2,False,0,random
900005,random,1.0,1.0,0.0,0.0,40,1,309,2,False,0,random
900000,random,2.0,2.0,0.0,0.0,40,1,308,8,False,1,random
900001,random,2.0,2.0,0.0,0.0,40,2,336,12,False,1,random
900002,random,6.0,2.0,0.0,4.0,40,1,278,18,False,1,random
900003,random,5.0,5.0,0.0,0.0,40,1,225,24,False,1,random
900006,random,1.0,1.0,0.0,0.0,40,1,299,4,False,0,random
900007,random,1.0,1.0,0.0,0.0,40,1,307,3,False,0,random
900010,random,4.0,4.0,0.0,0.0,40,1,284,19,False,1,random
900011,random,1.0,1.0,0.0,0.0,40,2,291,2,False,0,random
900008,random,2.0,2.0,0.0,0.0,40,1,284,4,False,1,random
900009,random,3.0,3.0,0.0,0.0,40,1,320,4,False,1,random
900012,random,1.0,1.0,0.0,0.0,40,1,282,1,False,0,random
900013,random,3.0,3.0,0.0,0.0,40,2,248,2,False,1,random
900014,random,4.0,4.0,0.0,0.0,40,1,283,15,False,1,random
900015,random,0.0,0.0,0.0,0.0,40,1,291,1,False,0,random
900016,random,5.0,5.0,0.0,0.0,40,1,322,21,False,1,random
900017,random,1.0,1.0,0.0,0.0,40,1,293,9,False,0,random
900018,random,2.0,2.0,0.0,0.0,40,1,285,5,False,1,random
900019,random,1.0,1.0,0.0,0.0,40,1,248,8,False,0,random
900020,random,4.0,4.0,0.0,0.0,40,1,275,2,False,1,random
900021,random,1.0,1.0,0.0,0.0,40,1,296,0,False,0,random
900022,random,3.0,3.0,0.0,0.0,40,2,291,6,False,1,random
900023,random,6.0,6.0,0.0,0.0,40,1,298,6,False,1,random
900024,random,0.0,0.0,0.0,0.0,40,1,260,27,False,0,random
900025,random,3.0,3.0,0.0,0.0,40,2,330,0,False,1,random
900026,random,0.0,0.0,0.0,0.0,40,1,276,0,False,0,random
900027,random,3.0,3.0,0.0,0.0,40,1,323,8,False,1,random
900028,random,1.0,1.0,0.0,0.0,40,1,340,3,False,0,random
900029,random,6.0,6.0,0.0,0.0,40,2,301,11,False,1,random
900030,random,0.0,0.0,0.0,0.0,40,2,272,3,False,0,random
900031,random,6.0,6.0,0.0,0.0,40,1,310,0,False,1,random
900032,random,2.0,2.0,0.0,0.0,40,1,310,5,False,1,random
900033,random,1.0,1.0,0.0,0.0,40,1,282,11,False,0,random
900036,random,1.0,1.0,0.0,0.0,40,1,280,0,False,0,random
900037,random,1.0,1.0,0.0,0.0,40,1,296,21,False,0,random
900034,random,1.0,1.0,0.0,0.0,40,1,351,24,False,0,random
900035,random,6.0,4.0,0.0,2.0,40,1,333,0,False,1,random
900038,random,0.0,0.0,0.0,0.0,40,1,290,12,False,0,random
900039,random,1.0,1.0,0.0,0.0,40,2,280,12,False,0,random
900000,scripted,6.0,6.0,0.0,0.0,40,1,1032,0,False,1,scripted
900001,scripted,0.0,0.0,0.0,0.0,40,7,1013,0,False,0,scripted
900002,scripted,30.0,30.0,0.0,0.0,40,1,1012,0,False,2,scripted
900003,scripted,25.0,25.0,0.0,0.0,40,13,1020,0,False,2,scripted
900004,scripted,0.0,0.0,0.0,0.0,40,7,1036,0,False,0,scripted
900005,scripted,49.0,49.0,0.0,0.0,40,12,1020,0,False,2,scripted
900010,scripted,0.0,0.0,0.0,0.0,40,12,1021,0,False,0,scripted
900011,scripted,31.0,31.0,0.0,0.0,40,9,1020,0,False,2,scripted
900008,scripted,42.0,42.0,0.0,0.0,40,10,1041,0,False,2,scripted
900009,scripted,27.0,27.0,0.0,0.0,40,6,1017,0,False,2,scripted
900006,scripted,7.0,7.0,0.0,0.0,40,20,1026,0,False,1,scripted
900007,scripted,0.0,0.0,0.0,0.0,40,6,1032,0,False,0,scripted
900012,scripted,25.0,25.0,0.0,0.0,40,9,1040,0,False,2,scripted
900013,scripted,0.0,0.0,0.0,0.0,40,8,1032,0,False,0,scripted
900014,scripted,0.0,0.0,0.0,0.0,40,6,1013,0,False,0,scripted
900015,scripted,32.0,32.0,0.0,0.0,40,1,1030,0,False,2,scripted
900016,scripted,16.0,16.0,0.0,0.0,40,10,1017,0,False,2,scripted
900017,scripted,45.0,45.0,0.0,0.0,40,11,1020,0,False,2,scripted
900018,scripted,22.0,22.0,0.0,0.0,40,11,1021,0,False,2,scripted
900019,scripted,0.0,0.0,0.0,0.0,40,3,1009,0,False,0,scripted
900020,scripted,13.0,13.0,0.0,0.0,40,16,1043,0,False,2,scripted
900021,scripted,26.0,26.0,0.0,0.0,40,4,988,0,False,2,scripted
900022,scripted,0.0,0.0,0.0,0.0,40,13,1020,0,False,0,scripted
900023,scripted,16.0,16.0,0.0,0.0,40,6,1017,0,False,2,scripted
900024,scripted,47.0,47.0,0.0,0.0,40,12,1019,0,False,2,scripted
900025,scripted,32.0,32.0,0.0,0.0,40,8,1016,0,False,2,scripted
900026,scripted,0.0,0.0,0.0,0.0,40,9,1032,0,False,0,scripted
900027,scripted,26.0,26.0,0.0,0.0,40,1,1034,0,False,2,scripted
900028,scripted,0.0,0.0,0.0,0.0,40,5,1030,0,False,0,scripted
900029,scripted,6.0,6.0,0.0,0.0,40,8,1014,0,False,1,scripted
900030,scripted,4.0,4.0,0.0,0.0,40,9,1035,0,False,1,scripted
900031,scripted,25.0,25.0,0.0,0.0,40,6,1015,0,False,2,scripted
900032,scripted,32.0,32.0,0.0,0.0,40,8,1038,0,False,2,scripted
900033,scripted,25.0,25.0,0.0,0.0,40,1,1033,0,False,2,scripted
900034,scripted,0.0,0.0,0.0,0.0,40,2,1030,0,False,0,scripted
900035,scripted,7.0,7.0,0.0,0.0,40,2,1033,0,False,1,scripted
900000,heuristic,109.0,109.0,0.0,0.0,40,2,179,0,False,3,heuristic
900001,heuristic,158.0,80.0,0.0,78.0,40,5,184,0,False,6,heuristic
900002,heuristic,91.0,91.0,0.0,0.0,40,2,171,0,False,3,heuristic
900003,heuristic,157.0,157.0,0.0,0.0,40,7,186,0,False,4,heuristic
900004,heuristic,186.0,186.0,0.0,0.0,40,5,180,0,False,4,heuristic
