seed,agent_seed,agent,score,science,culture,faith,turns,population,decisions,failed,goal_achieved,tech_nodes,spec
900000,900000,random,2.0,2.0,0.0,0.0,40,1,308,8,False,1,random
900000,900000,scripted,6.0,6.0,0.0,0.0,40,1,1032,0,False,1,scripted
900001,900001,random,2.0,2.0,0.0,0.0,40,2,336,12,False,1,random
900001,900001,scripted,0.0,0.0,0.0,0.0,40,7,1013,0,False,0,scripted
900001,900001,heuristic,158.0,80.0,0.0,78.0,40,5,184,0,False,6,heuristic
900001,900001,model,208.0,142.0,0.0,66.0,40,5,90,0,False,5,model:models/policy_round2.keras:0.0
900000,900000,heuristic,109.0,109.0,0.0,0.0,40,2,179,0,False,3,heuristic
900000,900000,model,209.0,209.0,0.0,0.0,40,3,83,0,False,4,model:models/policy_round2.keras:0.0
900003,900003,heuristic,157.0,157.0,0.0,0.0,40,7,186,0,False,4,heuristic
900003,900003,model,211.0,211.0,0.0,0.0,40,4,93,0,False,4,model:models/policy_round2.keras:0.0
900002,900002,random,6.0,2.0,0.0,4.0,40,1,278,18,False,1,random
900002,900002,scripted,30.0,30.0,0.0,0.0,40,1,1012,0,False,2,scripted
900004,900004,heuristic,186.0,186.0,0.0,0.0,40,5,180,0,False,4,heuristic
900004,900004,model,140.0,140.0,0.0,0.0,40,3,89,0,False,3,model:models/policy_round2.keras:0.0
900003,900003,random,5.0,5.0,0.0,0.0,40,1,225,24,False,1,random
900003,900003,scripted,25.0,25.0,0.0,0.0,40,13,1020,0,False,2,scripted
900002,900002,heuristic,91.0,91.0,0.0,0.0,40,2,171,0,False,3,heuristic
900002,900002,model,152.0,152.0,0.0,0.0,40,2,87,0,False,4,model:models/policy_round2.keras:0.0
900005,900005,heuristic,169.0,169.0,0.0,0.0,40,3,192,0,False,4,heuristic
900005,900005,model,281.0,281.0,0.0,0.0,40,5,104,0,False,4,model:models/policy_round2.keras:0.0
900004,900004,random,0.0,0.0,0.0,0.0,40,1,300,2,False,0,random
900004,900004,scripted,0.0,0.0,0.0,0.0,40,7,1036,0,False,0,scripted
900006,900006,heuristic,196.0,196.0,0.0,0.0,40,5,180,0,False,4,heuristic
900006,900006,model,205.0,205.0,0.0,0.0,40,2,130,1,False,4,model:models/policy_round2.keras:0.0
900005,900005,random,1.0,1.0,0.0,0.0,40,1,309,2,False,0,random
900005,900005,scripted,49.0,49.0,0.0,0.0,40,12,1020,0,False,2,scripted
900007,900007,heuristic,174.0,174.0,0.0,0.0,40,4,173,0,False,4,heuristic
900007,900007,model,128.0,128.0,0.0,0.0,40,5,93,1,False,3,model:models/policy_round2.keras:0.0
900006,900006,random,1.0,1.0,0.0,0.0,40,1,299,4,False,0,random
900006,900006,scripted,7.0,7.0,0.0,0.0,40,20,1026,0,False,1,scripted
900008,900008,heuristic,166.0,166.0,0.0,0.0,40,4,175,0,False,4,heuristic
900008,900008,model,141.0,141.0,0.0,0.0,40,3,79,0,False,3,model:models/policy_round2.keras:0.0
900007,900007,random,1.0,1.0,0.0,0.0,40,1,307,3,False,0,random
900007,900007,scripted,0.0,0.0,0.0,0.0,40,6,1032,0,False,0,scripted
900009,900009,heuristic,196.0,196.0,0.0,0.0,40,4,176,0,False,4,heuristic
900009,900009,model,219.0,219.0,0.0,0.0,40,3,85,0,False,4,model:models/policy_round2.keras:0.0
900008,900008,random,2.0,2.0,0.0,0.0,40,1,284,4,False,1,random
900008,900008,scripted,42.0,42.0,0.0,0.0,40,10,1041,0,False,2,scripted
900009,900009,random,3.0,3.0,0.0,0.0,40,1,320,4,False,1,random
900009,900009,scripted,27.0,27.0,0.0,0.0,40,6,1017,0,False,2,scripted
900010,900010,heuristic,102.0,102.0,0.0,0.0,40,2,177,0,False,3,heuristic
900010,900010,model,146.0,146.0,0.0,0.0,40,2,115,4,False,3,model:models/policy_round2.keras:0.0
900011,900011,heuristic,130.0,130.0,0.0,0.0,40,4,175,0,False,3,heuristic
900011,900011,model,148.0,148.0,0.0,0.0,40,5,80,0,False,3,model:models/policy_round2.keras:0.0
900010,900010,random,4.0,4.0,0.0,0.0,40,1,284,19,False,1,random
900010,900010,scripted,0.0,0.0,0.0,0.0,40,12,1021,0,False,0,scripted
900011,900011,random,1.0,1.0,0.0,0.0,40,2,291,2,False,0,random
900011,900011,scripted,31.0,31.0,0.0,0.0,40,9,1020,0,False,2,scripted
900012,900012,heuristic,225.0,225.0,0.0,0.0,40,5,184,0,False,4,heuristic
900012,900012,model,256.0,256.0,0.0,0.0,40,4,132,0,False,4,model:models/policy_round2.keras:0.0
900013,900013,heuristic,114.0,114.0,0.0,0.0,40,6,182,0,False,3,heuristic
900013,900013,model,165.0,165.0,0.0,0.0,40,4,85,0,False,4,model:models/policy_round2.keras:0.0
900012,900012,random,1.0,1.0,0.0,0.0,40,1,282,1,False,0,random
900012,900012,scripted,25.0,25.0,0.0,0.0,40,9,1040,0,False,2,scripted
900014,900014,heuristic,184.0,184.0,0.0,0.0,40,5,198,0,False,4,heuristic
900014,900014,model,323.0,323.0,0.0,0.0,40,5,85,0,False,4,model:models/policy_round2.keras:0.0
900013,900013,random,3.0,3.0,0.0,0.0,40,2,248,2,False,1,random
900013,900013,scripted,0.0,0.0,0.0,0.0,40,8,1032,0,False,0,scripted
900015,900015,heuristic,68.0,68.0,0.0,0.0,40,7,183,0,False,3,heuristic
900015,900015,model,229.0,229.0,0.0,0.0,40,3,82,0,False,4,model:models/policy_round2.keras:0.0
900014,900014,random,4.0,4.0,0.0,0.0,40,1,283,15,False,1,random
900014,900014,scripted,0.0,0.0,0.0,0.0,40,6,1013,0,False,0,scripted
900015,900015,random,0.0,0.0,0.0,0.0,40,1,291,1,False,0,random
900015,900015,scripted,32.0,32.0,0.0,0.0,40,1,1030,0,False,2,scripted
900016,900016,heuristic,172.0,172.0,0.0,0.0,40,3,175,0,False,4,heuristic
900016,900016,model,141.0,141.0,0.0,0.0,40,2,87,1,False,3,model:models/policy_round2.keras:0.0
900017,900017,heuristic,225.0,225.0,0.0,0.0,40,6,185,0,False,4,heuristic
900017,900017,model,364.0,364.0,0.0,0.0,40,4,98,0,False,4,model:models/policy_round2.keras:0.0
900016,900016,random,5.0,5.0,0.0,0.0,40,1,322,21,False,1,random
900016,900016,scripted,16.0,16.0,0.0,0.0,40,10,1017,0,False,2,scripted
900018,900018,heuristic,117.0,117.0,0.0,0.0,40,4,189,0,False,3,heuristic
900018,900018,model,254.0,254.0,0.0,0.0,40,4,84,0,False,4,model:models/policy_round2.keras:0.0
900017,900017,random,1.0,1.0,0.0,0.0,40,1,293,9,False,0,random
900017,900017,scripted,45.0,45.0,0.0,0.0,40,11,1020,0,False,2,scripted
900019,900019,heuristic,189.0,189.0,0.0,0.0,40,5,194,0,False,4,heuristic
900019,900019,model,168.0,168.0,0.0,0.0,40,4,91,0,False,4,model:models/policy_round2.keras:0.0
900018,900018,random,2.0,2.0,0.0,0.0,40,1,285,5,False,1,random
900018,900018,scripted,22.0,22.0,0.0,0.0,40,11,1021,0,False,2,scripted
900019,900019,random,1.0,1.0,0.0,0.0,40,1,248,8,False,0,random
900019,900019,scripted,0.0,0.0,0.0,0.0,40,3,1009,0,False,0,scripted
900020,900020,heuristic,203.0,203.0,0.0,0.0,40,5,178,0,False,4,heuristic
900020,900020,model,196.0,196.0,0.0,0.0,40,4,87,1,False,4,model:models/policy_round2.keras:0.0
900021,900021,heuristic,185.0,185.0,0.0,0.0,40,3,174,0,False,4,heuristic
900021,900021,model,237.0,237.0,0.0,0.0,40,4,83,0,False,4,model:models/policy_round2.keras:0.0
900022,900022,heuristic,249.0,249.0,0.0,0.0,40,7,185,0,False,4,heuristic
900022,900022,model,164.0,164.0,0.0,0.0,40,3,82,0,False,4,model:models/policy_round2.keras:0.0
900020,900020,random,4.0,4.0,0.0,0.0,40,1,275,2,False,1,random
900020,900020,scripted,13.0,13.0,0.0,0.0,40,16,1043,0,False,2,scripted
900021,900021,random,1.0,1.0,0.0,0.0,40,1,296,0,False,0,random
900021,900021,scripted,26.0,26.0,0.0,0.0,40,4,988,0,False,2,scripted
900023,900023,heuristic,171.0,171.0,0.0,0.0,40,5,190,0,False,4,heuristic
900023,900023,model,171.0,171.0,0.0,0.0,40,4,99,1,False,4,model:models/policy_round2.keras:0.0
900023,900023,random,6.0,6.0,0.0,0.0,40,1,298,6,False,1,random
900023,900023,scripted,16.0,16.0,0.0,0.0,40,6,1017,0,False,2,scripted
900022,900022,random,3.0,3.0,0.0,0.0,40,2,291,6,False,1,random
900022,900022,scripted,0.0,0.0,0.0,0.0,40,13,1020,0,False,0,scripted
900024,900024,heuristic,157.0,157.0,0.0,0.0,40,3,178,0,False,4,heuristic
900024,900024,model,227.0,227.0,0.0,0.0,40,4,86,0,False,4,model:models/policy_round2.keras:0.0
900025,900025,heuristic,139.0,139.0,0.0,0.0,40,8,186,0,False,3,heuristic
900025,900025,model,170.0,170.0,0.0,0.0,40,4,92,0,False,4,model:models/policy_round2.keras:0.0
900024,900024,random,0.0,0.0,0.0,0.0,40,1,260,27,False,0,random
900024,900024,scripted,47.0,47.0,0.0,0.0,40,12,1019,0,False,2,scripted
900025,900025,random,3.0,3.0,0.0,0.0,40,2,330,0,False,1,random
900025,900025,scripted,32.0,32.0,0.0,0.0,40,8,1016,0,False,2,scripted
900026,900026,heuristic,103.0,103.0,0.0,0.0,40,2,169,0,False,3,heuristic
900026,900026,model,144.0,144.0,0.0,0.0,40,3,96,1,False,3,model:models/policy_round2.keras:0.0
900027,900027,heuristic,194.0,194.0,0.0,0.0,40,3,180,0,False,4,heuristic
900027,900027,model,290.0,218.0,0.0,72.0,40,4,91,0,False,7,model:models/policy_round2.keras:0.0
900026,900026,random,0.0,0.0,0.0,0.0,40,1,276,0,False,0,random
900026,900026,scripted,0.0,0.0,0.0,0.0,40,9,1032,0,False,0,scripted
900027,900027,random,3.0,3.0,0.0,0.0,40,1,323,8,False,1,random
900027,900027,scripted,26.0,26.0,0.0,0.0,40,1,1034,0,False,2,scripted
900028,900028,heuristic,51.0,51.0,0.0,0.0,40,6,181,0,False,2,heuristic
900028,900028,model,153.0,153.0,0.0,0.0,40,5,94,0,False,4,model:models/policy_round2.keras:0.0
